4.4.3.101|1102479316
69.109.189.98|1102479336
68.12.175.131|1102480159
172.145.146.120|1102480855
4.224.75.39|1102480876
12.168.179.155|1102481012
68.8.65.203|1102481980
67.120.105.33|1102482046
67.120.105.33|1102482165
68.115.57.116|1102482424
161.253.44.144|1102482551
66.205.149.5|1102482772
24.177.118.185|1102482868
24.145.195.191|1102483779
24.196.74.250|1102484103
70.112.39.90|1102485586
64.209.126.132|1102487147
66.142.141.252|1102487501
69.179.181.150|1102489522
12.72.205.99|1102491049
4.7.217.133|1102491143
64.134.14.190|1102492783
131.107.71.96|1102494746
24.30.133.38|1102494764
35.11.147.216|1102497037
130.127.73.219|1102501907
67.160.195.226|1102503199
131.92.218.236|1102510259
151.188.16.20|1102510316
131.92.218.236|1102510453
130.230.1.90|1102511812
4.249.108.23|1102514365
155.178.180.5|1102514553
141.158.245.139|1102516358
12.104.10.11|1102516390
129.106.56.8|1102517890
64.69.108.254|1102519637
80.250.130.141|1102519928
24.22.112.113|1102522288
64.132.172.213|1102523140
153.104.168.153|1102523215
4.240.247.82|1102525060
67.162.109.196|1102528064
68.56.246.140|1102529310
199.174.152.115|1102529685
152.20.154.109|1102530573
192.223.243.6|1102531358
170.190.14.90|1102532099
66.15.3.195|1102534123
170.159.4.8|1102534732
199.103.248.56|1102536664
209.115.238.101|1102546092
80.117.55.194|1102547576
134.198.240.47|1102549790
81.76.53.33|1102553976
161.149.63.106|1102555829
216.38.149.155|1102557177
216.210.204.68|1102560764
64.134.14.190|1102574097
66.167.21.106|1102609055
66.167.21.106|1102609139
160.254.20.253|1102629694
67.149.11.209|1102637320
24.20.55.155|1102658830
66.32.116.164|1102669278
198.110.73.121|1102684720
200.55.111.157|1102727493
68.144.113.152|1102787703
64.136.26.235|1102791623
69.143.63.123|1102800341
70.22.51.193|1102904498
66.14.241.14|1102966766
66.14.241.14|1102966804
64.91.164.108|1102971045
141.161.60.41|1102977605
24.104.49.236|1102978221
24.94.180.199|1102981101
69.29.224.244|1102998981
216.100.38.20|1103003965
195.200.115.167|1103043352
131.118.51.82|1103073827
203.5.217.4|1103085979
202.68.162.110|1103117298
202.68.162.110|1103117360
217.23.225.121|1103121274
64.91.163.134|1103123014
24.248.91.2|1103125248
142.161.34.63|1103139730
63.205.196.78|1103168980
138.110.219.93|1103260716
69.227.122.95|1103263027
220.244.224.104|1103374724
68.170.161.245|1103423138
24.91.222.104|1103459835
66.191.228.224|1103483026
66.191.228.224|1103483064
203.144.143.3|1103551197
66.189.78.19|1103587044
69.107.107.101|1103599776
64.91.56.81|1103604901
195.176.20.45|1103624930
24.19.111.237|1103651327
210.10.214.118|1103685906
211.26.83.48|1103713593
194.95.86.210|1103732328
67.166.128.225|1103736579
67.41.103.71|1103746804
4.245.224.68|1103855109
64.12.116.69|1103859322
4.16.156.216|1103936657
24.245.9.199|1104154961
62.252.192.5|1104178117
205.180.248.217|1104374650
69.137.138.76|1104467186
67.5.118.212|1104477333
68.165.32.224|1104722931
4.8.90.205|1104773960
66.213.13.75|1104776724
69.11.96.95|1104813170
24.19.158.104|1104864088
24.7.137.13|1104875847
140.185.96.59|1104943274
216.96.110.147|1104946284
216.86.41.58|1104949692
69.157.10.198|1104961726
81.204.53.142|1105001659
216.54.7.254|1105032001
209.182.101.246|1105038605
69.225.214.38|1105056550
132.162.213.186|1105063244
132.236.247.51|1105117502
195.176.20.45|1105126665
165.247.48.153|1105149402
84.72.94.93|1105186158
66.109.194.219|1105209244
64.12.116.69|1105313391
69.108.136.155|1105314463
24.17.135.134|1105327710
69.21.250.168|1105335840
24.0.201.122|1105392231
81.224.245.250|1105401320
24.9.64.160|1105403809
206.222.198.12|1105404958
66.7.17.69|1105454178
193.190.255.60|1105464348
141.157.184.77|1105555788
198.110.73.93|1105640319
67.34.225.195|1105735717
24.23.254.171|1105743337
69.142.226.9|1105744905
66.43.221.90|1105807487
64.45.212.66|1105816656
207.81.63.35|1105819194
68.60.186.73|1105843899
64.12.116.69|1105858551
172.172.165.119|1105895014
203.206.242.111|1105938949
63.237.224.34|1105988251
137.222.10.57|1106042912
81.104.201.193|1106048225
211.28.196.225|1106110014
128.243.220.41|1106132004
66.134.70.235|1106153547
192.63.43.112|1106214611
200.165.230.78|1106221459
63.103.93.62|1106280166
152.163.100.69|1106287730
12.31.248.194|1106329203
152.163.100.71|1106377291
24.23.200.213|1106443463
153.29.32.34|1106505315
24.20.37.148|1106523951
24.185.31.60|1106530613
67.81.153.252|1106541934
198.81.26.38|1106584095
130.184.95.153|1106606469
66.142.55.164|1106707918
66.142.55.164|1106708169
216.252.236.244|1106754218
208.181.173.193|1106757313
64.180.47.171|1106811915
85.73.3.108|1106917270
209.223.187.74|1106923723
209.195.175.195|1107014224
216.232.213.129|1107021582
154.20.230.149|1107030271
69.162.119.133|1107120439
200.139.96.249|1107128648
4.15.18.251|1107209843
62.252.128.16|1107260513
82.1.4.4|1107270574
213.208.117.190|1107274566
24.45.40.190|1107289829
205.166.37.110|1107299188
24.47.5.163|1107314204
67.41.103.71|1107316821
67.41.103.71|1107316876
147.9.204.83|1107367287
131.111.8.97|1107377121
199.189.13.166|1107386544
67.41.103.71|1107406072
24.11.92.114|1107434944
204.186.151.4|1107438820
204.186.151.4|1107438956
194.130.52.130|1107443664
64.162.28.254|1107457259
66.167.234.58|1107462024
204.109.29.5|1107464013
205.250.111.44|1107490205
134.186.167.197|1107549639
172.213.243.162|1107550779
209.220.158.188|1107557522
207.194.161.118|1107558351
67.111.91.113|1107575523
217.155.199.100|1107575615
172.171.194.82|1107630645
207.194.161.252|1107656998
67.174.53.107|1107749647
67.118.213.254|1107757997
67.172.169.47|1107761911
198.81.26.38|1107785113
